Week, Research, Teaching, ServiceA, ServiceB, Gym, Meditation, Email, SO, Eltern, GTD, Idle
1,  4.00,  2.50,  0.00, 4.50,  2.50, 4.50, 4.75, 0.00, 7.00,  4.00, 21.00
2,  4.50,  4.00,  3.00, 5.50,  3.50, 1.50, 3.50, 0.00, 7.00,  7.00, 5.50
3,  8.75,  19.25, 3.00, 6.25,  0.00, 2.25, 4.00, 0.00, 8.00,  3.75, 4.50
4,  14.75, 18.00, 4.25, 8.25,  2.00, 3.00, 5.25, 0.00, 8.50,  3.00, 3.50
5,  16.00, 20.00, 1.50, 8.00,  2.25, 3.75, 3.50, 0.00, 7.00,  4.00, 5.50
6,  18.00, 20.00, 2.25, 10.75, 2.25, 5.00, 4.00, 0.00, 7.50,  4.25, 4.25
7,  16.00, 24.00, 2.00, 7.50,  3.75, 2.75, 6.50, 0.00, 5.00,  2.50, 4.00
8,  18.00, 20.00, 0.50, 4.50,  2.00, 3.50, 2.50, 0.00, 6.50,  4.00, 4.00
9,  15.25, 18.00, 0.00, 17.25, 2.00, 3.75, 4.00, 0.00, 5.00,  2.00, 3.50
10, 13.50, 18.00, 2.75, 17.00, 1.25, 3.00, 5.00, 0.00, 5.00,  3.50, 5.00
11, 13.25, 17.50, 1.50, 30.00, 3.00, 3.75, 4.00, 0.00, 3.00,  2.00, 2.50
12, 17.00, 15.00, 0.50, 19.00, 0.00, 2.25, 1.25, 0.00, 6.50,  3.50, 5.25
13, 16.00, 1.75,  0.00, 11.00, 0.00, 3.50, 9.00, 0.00, 10.00, 4.00, 6.00 
14, 22.00, 11.00, 2.00, 8.50,  2.00, 3.50, 6.50, 2.00, 12.00, 1.00, 2.50
15, 20.50, 12.50, 1.50, 7.50,  2.00, 4.75, 4.75, 0.00, 9.00,  4.00, 2.50
16, 21.75, 15.00, 1.50, 8.00,  2.00, 5.00, 2.00, 0.00, 5.00,  4.00, 5.00
17, 16.00, 18.50, 2.25, 6.00,  2.00, 4.50, 3.00, 2.00, 6.00,  2.50, 7.25
18, 16.00, 16.00, 5.00, 2.00,  1.00, 4.50, 8.00, 0.00, 13.00, 4.00, 5.00
19, 17.50, 11.50, 2.00, 11.00, 1.50, 3.75, 5.00, 0.00, 9.00,  1.25, 11.00
20, 8.50,  22.00, 2.50, 15.00, 2.50, 4.00, 7.50, 0.00, 0.00,  1.25, 10.00
